Id,Label,timeset,latitude,longitude,colabs_total,modularity_class
149213910,University of Antwerp,,51.22273,4.40843,43788,2
43406934,Université Laval,,46.81228,-71.21454,43646,2
118347636,Australian National University,,-35.28346,149.12807,43554,0
114090438,Goethe University Frankfurt,,50.11552,8.68417,43517,0
34809795,Hannover Medical School,,52.37052,9.73322,43416,2
204337017,Aarhus University,,56.15674,10.21076,43231,2
132053463,Université Libre de Bruxelles,,50.85045,4.34878,42779,0
130701444,Georgia Institute of Technology,,33.749,-84.38798,42384,0
46247651,University of Manitoba,,49.806892,-97.13834,42284,2
3018483916,University Medical Center Utrecht,,52.09083,5.12222,42204,1
47720641,Huazhong University of Science and Technology,,30.508183,114.41474,41869,2
92446798,Colorado State University,,40.58526,-105.08442,41323,1
180923762,University of Cologne,,50.93333,6.95,41296,2
153718931,University of Ottawa,,45.41117,-75.69812,41213,2
96673099,Technical University of Denmark,,55.77044,12.50378,41190,1
135598925,Kyushu University,,33.6,130.41667,40992,0
1286329397,United States Geological Survey,,38.96872,-77.3411,40947,2
90267481,Umeå University,,63.82842,20.25972,40890,1
2799853436,Johns Hopkins Medicine,,39.29038,-76.61219,40869,1
169521973,University of New Mexico,,35.08449,-106.65114,40736,2
173911158,Iowa State University,,42.03471,-93.61994,40712,2
2802164966,University Hospital Heidelberg,,49.40768,8.69079,40545,1
99043593,Macquarie University,,-33.775257,151.11292,40152,1
154130895,University of Auckland,,-36.84853,174.76349,40093,2
146399215,University of Tsukuba,,36.2,140.1,39147,2
154099455,Shandong University,,36.67361,117.05389,38767,2
1289490764,Centers for Disease Control and Prevention,,33.749,-84.38798,38688,2
114531698,Tokyo Institute of Technology,,35.6895,139.69171,38554,0
1327163397,State University of New York,,42.65258,-73.75623,38408,2
887064364,University of Amsterdam,,52.37403,4.88969,38111,1
53964585,Weizmann Institute of Science,,31.89421,34.81199,37558,2
172675005,Nanyang Technological University,,1.28967,103.85007,37469,2
23923803,University of Exeter,,50.7236,-3.52751,36956,2
181369854,Friedrich-Alexander-Universität Erlangen-Nürnberg,,49.59099,11.00783,36897,2
1312222531,Agricultural Research Service,,38.89511,-77.03637,36773,2
